ID;Loan Duration;Credit history;Purpose;Loan Amount;Savings Account;Length of Current Employment;Installment Rate as % of Income;Guarantors;Length of Current Property Residence;Age;Housing;Number of existing loans;Job;Number of dependants;foreign worker;Sex;status;Target2;Target
780;18;Existing Credits Paid Back Duly Till Now;Repairs;3872;Less than 100 DM;Unemployed;2;None;4;67;Ownership;1;Skilled;1;Yes;female;divorced/separated/married;1;[629, 624, 846, 137, 554, 976, 774, 606, 883, 0, 75, 186, 536, 917]
781;39;Critical Account / Other Credits Existing at Other Bank;Radio/TV;4933;Less than 100 DM;4-6 years;2;Guarantor;2;25;Ownership;2;Skilled;1;Yes;male;single;2;[152, 194, 230, 357, 148, 476, 225, 998, 877, 639, 101, 217, 35, 907]
782;24;Critical Account / Other Credits Existing at Other Bank;New car;1940;More than 1000 DM;more than 6 years;4;None;4;60;Ownership;1;Skilled;1;Yes;male;single;1;[13, 541, 237, 465, 838, 487, 678, 213, 83, 179, 360, 62, 438, 760]
783;12;No Credits Taken / All Credits Paid Back Duly;retraining;1410;Less than 100 DM;1-3 years;2;None;2;31;Ownership;1;Unskilled - Resident;1;Yes;male;single;1;[339, 125, 932, 178, 222, 127, 305, 995, 257, 318, 923, 767, 185, 857]
784;12;Existing Credits Paid Back Duly Till Now;New car;836;100-500 DM;less than 1 year;4;None;2;23;Ownership;1;Unskilled - Resident;1;Yes;female;divorced/separated/married;2;[573, 722, 12, 873, 691, 550, 548, 610, 934, 836, 480, 931, 604, 708]
785;20;Existing Credits Paid Back Duly Till Now;Used car;6468;No Savings Account;Unemployed;1;None;4;60;Ownership;1;Highly Skilled;1;Yes;male;divorced/separated;1;[715, 213, 838, 678, 237, 179, 465, 624, 760, 487, 846, 779, 360, 541]
786;18;Existing Credits Paid Back Duly Till Now;Business;1941;More than 1000 DM;1-3 years;4;None;2;35;Ownership;1;Unskilled - Resident;1;Yes;male;single;1;[543, 97, 30, 189, 737, 705, 826, 464, 608, 749, 876, 592, 537, 452]
787;22;Existing Credits Paid Back Duly Till Now;Radio/TV;2675;500-1000 DM;more than 6 years;3;None;4;40;Ownership;1;Skilled;1;Yes;male;single;1;[497, 594, 380, 100, 742, 919, 121, 182, 199, 674, 703, 591, 950, 977]
788;48;Critical Account / Other Credits Existing at Other Bank;Used car;2751;No Savings Account;more than 6 years;4;None;3;38;Ownership;2;Skilled;2;Yes;male;single;1;[622, 568, 73, 870, 628, 776, 310, 266, 868, 778, 501, 653, 98, 415]
789;48;Delay in Paying Off in the Past;Education;6224;Less than 100 DM;more than 6 years;4;None;4;50;Free Housing;1;Skilled;1;Yes;male;single;2;[650, 373, 95, 374, 522, 378, 808, 813, 44, 29, 293, 701, 115, 728]
790;40;Critical Account / Other Credits Existing at Other Bank;Education;5998;Less than 100 DM;1-3 years;4;None;3;27;Ownership;1;Skilled;1;Yes;male;single;2;[999, 639, 273, 35, 286, 667, 242, 145, 780, 11, 152, 131, 840, 706]
791;21;Existing Credits Paid Back Duly Till Now;Business;1188;Less than 100 DM;more than 6 years;2;None;4;39;Ownership;1;Skilled;2;Yes;female;divorced/separated/married;2;[267, 537, 546, 437, 824, 592, 904, 772, 30, 400, 503, 648, 302, 453]
792;24;Existing Credits Paid Back Duly Till Now;Used car;6313;No Savings Account;more than 6 years;3;None;4;41;Ownership;1;Highly Skilled;2;Yes;male;single;1;[387, 880, 659, 106, 292, 971, 996, 889, 268, 520, 939, 491, 833, 42]
793;6;Critical Account / Other Credits Existing at Other Bank;Furniture/Equipment;1221;No Savings Account;1-3 years;1;None;2;27;Ownership;2;Skilled;1;Yes;male;married/widowed;1;[673, 60, 913, 41, 820, 810, 329, 647, 510, 492, 358, 389, 499, 936]
794;24;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;2892;Less than 100 DM;more than 6 years;3;None;4;51;Free Housing;1;Skilled;1;Yes;male;divorced/separated;1;[773, 183, 190, 662, 843, 4, 6, 560, 16, 796, 514, 607, 227, 800]
795;24;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;3062;500-1000 DM;more than 6 years;4;None;3;32;Rented;1;Skilled;1;Yes;male;single;1;[19, 959, 949, 946, 914, 718, 599, 426, 223, 984, 863, 942, 935, 740]
796;9;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;2301;100-500 DM;less than 1 year;2;None;4;22;Rented;1;Skilled;1;Yes;female;divorced/separated/married;1;[350, 47, 837, 922, 633, 513, 111, 797, 623, 817, 391, 752, 155, 721]
797;18;Existing Credits Paid Back Duly Till Now;Used car;7511;No Savings Account;more than 6 years;1;None;4;51;Free Housing;1;Skilled;2;Yes;male;single;2;[227, 662, 326, 560, 56, 793, 843, 183, 773, 190, 607, 702, 4, 6]
798;12;Critical Account / Other Credits Existing at Other Bank;Furniture/Equipment;1258;Less than 100 DM;less than 1 year;2;None;4;22;Rented;2;Unskilled - Resident;1;Yes;female;divorced/separated/married;1;[111, 633, 372, 922, 249, 221, 837, 350, 795, 623, 391, 865, 513, 47]
799;24;Delay in Paying Off in the Past;New car;717;No Savings Account;more than 6 years;4;None;4;54;Ownership;2;Skilled;1;Yes;male;married/widowed;1;[514, 16, 800, 6, 190, 261, 928, 482, 773, 54, 955, 793, 4, 975]
800;9;Existing Credits Paid Back Duly Till Now;New car;1549;No Savings Account;less than 1 year;4;None;2;35;Ownership;1;Unemployed / Unskilled  - Non-Resident;1;Yes;male;single;1;[461, 566, 119, 365, 759, 38, 506, 162, 625, 803, 232, 447, 114, 688]
801;24;Critical Account / Other Credits Existing at Other Bank;Education;1597;Less than 100 DM;more than 6 years;4;None;4;54;Free Housing;2;Skilled;2;Yes;male;single;1;[798, 514, 16, 6, 190, 773, 261, 793, 928, 227, 482, 955, 54, 183]
802;18;Critical Account / Other Credits Existing at Other Bank;Radio/TV;1795;Less than 100 DM;more than 6 years;3;Guarantor;4;48;Rented;2;Unskilled - Resident;1;Yes;female;divorced/separated/married;1;[288, 944, 600, 732, 251, 900, 139, 61, 345, 157, 908, 71, 668, 933]
803;20;Critical Account / Other Credits Existing at Other Bank;Furniture/Equipment;4272;Less than 100 DM;more than 6 years;1;None;4;24;Ownership;2;Skilled;1;Yes;female;divorced/separated/married;1;[523, 229, 405, 312, 410, 495, 144, 743, 605, 896, 634, 911, 64, 79]
804;12;Critical Account / Other Credits Existing at Other Bank;Radio/TV;976;No Savings Account;more than 6 years;4;None;4;35;Ownership;2;Skilled;1;Yes;male;single;1;[759, 519, 711, 852, 377, 119, 625, 799, 566, 103, 461, 349, 365, 114]
805;12;Existing Credits Paid Back Duly Till Now;New car;7472;No Savings Account;Unemployed;1;None;2;24;Rented;1;Unemployed / Unskilled  - Non-Resident;1;Yes;female;divorced/separated/married;1;[340, 572, 417, 306, 208, 911, 312, 739, 347, 79, 952, 675, 341, 912]
806;36;Existing Credits Paid Back Duly Till Now;New car;9271;Less than 100 DM;4-6 years;2;None;1;24;Ownership;1;Skilled;1;Yes;male;single;2;[812, 953, 983, 291, 645, 180, 113, 70, 57, 771, 226, 496, 131, 333]
807;6;Existing Credits Paid Back Duly Till Now;Radio/TV;590;Less than 100 DM;less than 1 year;3;None;3;26;Ownership;1;Unskilled - Resident;1;No;male;married/widowed;1;[140, 351, 290, 117, 173, 314, 24, 407, 859, 906, 696, 930, 270, 850]
808;12;Critical Account / Other Credits Existing at Other Bank;Radio/TV;930;No Savings Account;more than 6 years;4;None;4;65;Ownership;4;Skilled;1;Yes;male;single;1;[769, 283, 883, 219, 987, 976, 123, 624, 360, 75, 723, 760, 137, 449]
809;42;All Credits at This Bank Paid Back Duly;Used car;9283;Less than 100 DM;Unemployed;1;None;2;55;Free Housing;1;Highly Skilled;1;Yes;male;single;1;[522, 44, 29, 813, 293, 374, 378, 373, 788, 95, 728, 650, 815, 701]
810;15;No Credits Taken / All Credits Paid Back Duly;New car;1778;Less than 100 DM;less than 1 year;2;None;1;26;Rented;2;Unemployed / Unskilled  - Non-Resident;1;Yes;female;divorced/separated/married;2;[761, 707, 985, 197, 727, 124, 10, 831, 531, 14, 926, 386, 475, 82]
811;8;Existing Credits Paid Back Duly Till Now;Business;907;Less than 100 DM;less than 1 year;3;None;2;26;Ownership;1;Skilled;1;Yes;male;married/widowed;1;[41, 673, 60, 792, 820, 435, 329, 434, 52, 647, 510, 661, 254, 313]
812;6;Existing Credits Paid Back Duly Till Now;Radio/TV;484;Less than 100 DM;4-6 years;3;Guarantor;3;28;Ownership;1;Unskilled - Resident;1;Yes;male;married/widowed;1;[505, 220, 489, 233, 55, 346, 954, 336, 524, 85, 970, 587, 561, 777]
813;36;Critical Account / Other Credits Existing at Other Bank;Used car;9629;Less than 100 DM;4-6 years;4;None;4;24;Ownership;2;Skilled;1;Yes;male;single;2;[983, 805, 645, 291, 953, 180, 70, 113, 771, 496, 57, 131, 736, 17]
814;48;Existing Credits Paid Back Duly Till Now;Domestic appliances;3051;Less than 100 DM;1-3 years;3;None;4;54;Ownership;1;Skilled;1;Yes;male;single;2;[293, 808, 44, 29, 522, 728, 788, 815, 374, 373, 378, 650, 95, 115]
815;48;Existing Credits Paid Back Duly Till Now;New car;3931;Less than 100 DM;4-6 years;4;None;4;46;Free Housing;1;Skilled;2;Yes;male;single;2;[701, 3, 294, 115, 509, 828, 615, 854, 87, 650, 304, 788, 538, 373]
816;36;Delay in Paying Off in the Past;New car;7432;Less than 100 DM;1-3 years;2;None;2;54;Rented;1;Skilled;1;Yes;female;divorced/separated/married;1;[728, 293, 29, 813, 44, 808, 522, 378, 374, 788, 373, 95, 650, 980]
817;6;Existing Credits Paid Back Duly Till Now;Domestic appliances;1338;500-1000 DM;1-3 years;1;None;4;62;Ownership;1;Skilled;1;Yes;male;divorced/separated;1;[123, 769, 96, 449, 544, 987, 589, 219, 283, 807, 883, 976, 723, 760]
818;6;Critical Account / Other Credits Existing at Other Bank;Radio/TV;1554;Less than 100 DM;4-6 years;1;None;2;24;Rented;2;Skilled;1;Yes;female;divorced/separated/married;1;[922, 721, 623, 837, 350, 111, 47, 795, 633, 869, 513, 372, 797, 337]
819;36;Existing Credits Paid Back Duly Till Now;Used car;15857;Less than 100 DM;Unemployed;2;Co-applicant;3;43;Ownership;1;Highly Skilled;1;Yes;male;divorced/separated;1;[205, 902, 105, 18, 381, 653, 854, 87, 304, 615, 509, 538, 870, 672]
820;18;Existing Credits Paid Back Duly Till Now;Radio/TV;1345;Less than 100 DM;1-3 years;4;None;3;26;Ownership;1;Skilled;1;Yes;male;married/widowed;2;[698, 690, 276, 86, 920, 385, 640, 319, 679, 364, 132, 575, 866, 556]
821;12;Existing Credits Paid Back Duly Till Now;New car;1101;Less than 100 DM;1-3 years;3;None;2;27;Ownership;2;Skilled;1;Yes;male;married/widowed;1;[60, 329, 673, 792, 358, 510, 810, 913, 41, 383, 201, 260, 878, 647]
822;12;Existing Credits Paid Back Duly Till Now;Radio/TV;3016;Less than 100 DM;1-3 years;3;None;1;24;Ownership;1;Skilled;1;Yes;male;married/widowed;1;[434, 435, 661, 52, 741, 548, 762, 722, 964, 632, 67, 713, 39, 647]
823;36;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;2712;Less than 100 DM;more than 6 years;2;None;2;41;Ownership;1;Skilled;2;Yes;male;single;2;[368, 74, 301, 46, 392, 68, 164, 370, 501, 239, 98, 882, 716, 776]
824;8;Critical Account / Other Credits Existing at Other Bank;New car;731;Less than 100 DM;more than 6 years;4;None;4;47;Ownership;2;Unskilled - Resident;1;Yes;male;single;1;[422, 398, 20, 619, 485, 835, 925, 635, 2, 303, 726, 581, 354, 157]
825;18;Critical Account / Other Credits Existing at Other Bank;Furniture/Equipment;3780;Less than 100 DM;less than 1 year;3;None;2;35;Ownership;2;Highly Skilled;1;Yes;male;divorced/separated;1;[772, 904, 453, 537, 737, 827, 198, 262, 267, 256, 654, 322, 790, 597]
826;21;Critical Account / Other Credits Existing at Other Bank;New car;1602;Less than 100 DM;more than 6 years;4;None;3;30;Ownership;2;Skilled;1;Yes;male;married/widowed;1;[390, 88, 894, 559, 418, 598, 758, 401, 643, 982, 621, 861, 962, 644]
827;18;Critical Account / Other Credits Existing at Other Bank;New car;3966;Less than 100 DM;more than 6 years;1;None;4;33;Rented;3;Skilled;1;Yes;female;divorced/separated/married;2;[705, 189, 543, 785, 537, 97, 324, 737, 452, 30, 457, 749, 592, 824]
828;18;No Credits Taken / All Credits Paid Back Duly;Business;4165;Less than 100 DM;1-3 years;2;None;2;36;Ownership;2;Skilled;2;Yes;male;single;2;[322, 737, 597, 256, 654, 824, 904, 453, 469, 845, 772, 97, 253, 567]
829;36;Existing Credits Paid Back Duly Till Now;Used car;8335;No Savings Account;more than 6 years;3;None;4;47;Free Housing;1;Skilled;1;Yes;male;single;2;[509, 87, 854, 294, 115, 3, 814, 701, 615, 902, 650, 653, 788, 304]
830;48;Delay in Paying Off in the Past;Business;6681;No Savings Account;1-3 years;4;None;4;38;Free Housing;1;Skilled;2;Yes;male;single;1;[973, 685, 927, 78, 549, 657, 375, 672, 938, 310, 272, 921, 563, 622]
831;24;Delay in Paying Off in the Past;Business;2375;500-1000 DM;1-3 years;4;None;2;44;Ownership;2;Skilled;2;Yes;male;single;1;[545, 977, 591, 674, 404, 406, 851, 890, 884, 182, 901, 742, 298, 899]
832;18;Existing Credits Paid Back Duly Till Now;New car;1216;Less than 100 DM;less than 1 year;4;None;3;23;Rented;1;Skilled;1;Yes;female;divorced/separated/married;2;[926, 761, 386, 746, 707, 296, 249, 985, 809, 221, 420, 367, 727, 797]
833;45;No Credits Taken / All Credits Paid Back Duly;Business;11816;Less than 100 DM;more than 6 years;2;None;4;29;Rented;2;Skilled;1;Yes;male;single;2;[744, 63, 714, 915, 887, 450, 637, 395, 57, 684, 274, 333, 895, 295]
834;24;Existing Credits Paid Back Duly Till Now;Radio/TV;5084;No Savings Account;more than 6 years;2;None;4;42;Ownership;1;Skilled;1;Yes;female;divorced/separated/married;1;[80, 42, 520, 884, 939, 890, 851, 971, 406, 292, 268, 659, 958, 901]
835;15;Existing Credits Paid Back Duly Till Now;Radio/TV;2327;Less than 100 DM;less than 1 year;2;None;3;25;Ownership;1;Unskilled - Resident;1;Yes;female;divorced/separated/married;2;[691, 480, 751, 58, 385, 276, 319, 783, 573, 521, 640, 614, 679, 722]
836;12;No Credits Taken / All Credits Paid Back Duly;New car;1082;Less than 100 DM;1-3 years;4;None;4;48;Ownership;2;Skilled;1;Yes;male;single;2;[635, 485, 20, 823, 422, 354, 581, 619, 925, 81, 726, 2, 303, 398]
837;12;Existing Credits Paid Back Duly Till Now;Radio/TV;886;No Savings Account;1-3 years;4;None;2;21;Ownership;1;Skilled;1;Yes;female;divorced/separated/married;1;[610, 550, 12, 931, 934, 708, 604, 873, 308, 471, 167, 632, 67, 188]
838;4;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;601;Less than 100 DM;less than 1 year;1;None;3;23;Rented;1;Unskilled - Resident;2;Yes;female;divorced/separated/married;1;[350, 922, 795, 47, 633, 623, 111, 817, 513, 797, 372, 391, 721, 752]
839;24;Critical Account / Other Credits Existing at Other Bank;Used car;2957;Less than 100 DM;more than 6 years;4;None;4;63;Ownership;2;Skilled;1;Yes;male;single;1;[678, 213, 237, 465, 179, 487, 541, 781, 13, 360, 784, 438, 760, 624]
840;24;Critical Account / Other Credits Existing at Other Bank;Radio/TV;2611;Less than 100 DM;more than 6 years;4;Co-applicant;3;46;Ownership;2;Skilled;1;Yes;male;married/widowed;1;[961, 712, 978, 844, 652, 989, 289, 948, 631, 539, 298, 609, 399, 133]
841;36;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;5179;Less than 100 DM;4-6 years;4;None;2;29;Ownership;1;Skilled;1;Yes;male;single;2;[993, 328, 141, 181, 148, 877, 315, 528, 671, 687, 530, 789, 780, 583]
842;21;Delay in Paying Off in the Past;Used car;2993;Less than 100 DM;1-3 years;3;None;2;28;Ownership;2;Unskilled - Resident;1;Yes;male;single;1;[442, 366, 174, 50, 694, 279, 692, 620, 558, 338, 408, 235, 557, 31]
843;18;Existing Credits Paid Back Duly Till Now;Repairs;1943;Less than 100 DM;less than 1 year;4;None;4;23;Ownership;1;Skilled;1;Yes;female;divorced/separated/married;2;[614, 144, 521, 120, 58, 410, 258, 751, 634, 143, 679, 972, 834, 640]
844;24;All Credits at This Bank Paid Back Duly;Business;1559;Less than 100 DM;4-6 years;4;None;4;50;Ownership;1;Skilled;1;Yes;male;single;1;[560, 662, 607, 183, 793, 702, 773, 796, 289, 190, 989, 4, 65, 212]
845;18;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;3422;Less than 100 DM;more than 6 years;4;None;4;47;Ownership;3;Skilled;2;Yes;male;single;1;[133, 702, 712, 609, 289, 989, 839, 961, 978, 282, 149, 560, 427, 662]
846;21;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;3976;No Savings Account;4-6 years;2;None;3;35;Ownership;1;Skilled;1;Yes;male;single;1;[253, 192, 469, 597, 963, 564, 654, 256, 567, 284, 198, 160, 453, 322]
847;18;Existing Credits Paid Back Duly Till Now;New car;6761;No Savings Account;1-3 years;2;None;4;68;Rented;2;Skilled;1;Yes;male;single;2;[917, 606, 163, 330, 186, 779, 554, 430, 715, 0, 624, 536, 629, 756]
848;24;Existing Credits Paid Back Duly Till Now;New car;1249;Less than 100 DM;less than 1 year;4;None;2;28;Ownership;1;Skilled;1;Yes;male;married/widowed;1;[508, 533, 764, 636, 872, 579, 245, 481, 455, 982, 500, 612, 269, 248]
849;9;Existing Credits Paid Back Duly Till Now;Radio/TV;1364;Less than 100 DM;4-6 years;3;None;4;59;Ownership;1;Skilled;1;Yes;male;single;1;[544, 589, 96, 449, 816, 123, 760, 769, 283, 987, 8, 360, 807, 33]
850;12;Existing Credits Paid Back Duly Till Now;Radio/TV;709;Less than 100 DM;more than 6 years;4;None;4;57;Ownership;1;Unskilled - Resident;1;Yes;male;single;2;[590, 33, 259, 263, 90, 429, 448, 848, 396, 967, 94, 975, 91, 754]
851;20;Critical Account / Other Credits Existing at Other Bank;New car;2235;Less than 100 DM;1-3 years;4;Guarantor;2;33;Rented;2;Skilled;1;No;male;married/widowed;2;[696, 173, 270, 941, 407, 140, 247, 314, 897, 515, 806, 613, 351, 906]
852;24;Critical Account / Other Credits Existing at Other Bank;Used car;4042;No Savings Account;4-6 years;3;None;4;43;Ownership;2;Skilled;1;Yes;male;single;1;[406, 884, 890, 901, 830, 833, 80, 977, 545, 591, 674, 404, 42, 958]
853;15;Critical Account / Other Credits Existing at Other Bank;Radio/TV;1471;Less than 100 DM;1-3 years;4;None;4;35;Free Housing;2;Skilled;1;Yes;male;single;1;[759, 803, 184, 519, 711, 170, 103, 349, 625, 119, 461, 457, 799, 681]
854;18;All Credits at This Bank Paid Back Duly;New car;1442;Less than 100 DM;4-6 years;4;None;4;32;Free Housing;2;Unskilled - Resident;2;Yes;male;single;2;[717, 608, 464, 166, 602, 749, 172, 423, 535, 376, 97, 644, 419, 189]
855;36;Delay in Paying Off in the Past;New car;10875;Less than 100 DM;more than 6 years;2;None;2;45;Ownership;2;Skilled;2;Yes;male;single;1;[87, 509, 828, 615, 902, 653, 294, 3, 304, 814, 115, 701, 18, 538]
856;24;Existing Credits Paid Back Duly Till Now;New car;1474;100-500 DM;less than 1 year;4;None;3;33;Ownership;1;Skilled;1;Yes;male;married/widowed;1;[321, 918, 169, 577, 15, 755, 704, 740, 547, 942, 974, 433, 327, 419]
857;10;Existing Credits Paid Back Duly Till Now;retraining;894;No Savings Account;4-6 years;4;None;3;40;Ownership;1;Skilled;1;Yes;female;divorced/separated/married;1;[957, 875, 215, 250, 463, 204, 445, 146, 493, 725, 26, 135, 709, 997]
858;15;Critical Account / Other Credits Existing at Other Bank;Furniture/Equipment;3343;Less than 100 DM;1-3 years;4;None;2;28;Free Housing;1;Skilled;1;Yes;male;single;1;[257, 388, 125, 129, 441, 49, 483, 932, 401, 923, 421, 127, 526, 331]
859;15;Existing Credits Paid Back Duly Till Now;New car;3959;Less than 100 DM;1-3 years;3;None;2;29;Ownership;1;Skilled;1;Yes;female;divorced/separated/married;2;[323, 962, 401, 556, 861, 331, 982, 161, 390, 421, 129, 388, 874, 526]
860;9;Existing Credits Paid Back Duly Till Now;New car;3577;100-500 DM;1-3 years;1;Guarantor;2;26;Rented;1;Skilled;2;No;male;single;1;[906, 930, 117, 613, 290, 407, 806, 24, 140, 351, 173, 850, 696, 314]
861;24;Critical Account / Other Credits Existing at Other Bank;Used car;5804;More than 1000 DM;1-3 years;4;None;2;27;Ownership;2;Skilled;1;Yes;male;single;1;[202, 748, 477, 311, 384, 670, 153, 338, 31, 620, 558, 665, 43, 142]
862;18;Delay in Paying Off in the Past;Business;2169;Less than 100 DM;1-3 years;4;None;2;28;Ownership;1;Skilled;1;Yes;male;married/widowed;2;[401, 390, 556, 982, 161, 388, 331, 508, 323, 858, 847, 579, 764, 920]
863;24;Existing Credits Paid Back Duly Till Now;Radio/TV;2439;Less than 100 DM;less than 1 year;4;None;4;35;Ownership;1;Skilled;1;Yes;female;divorced/separated/married;2;[729, 172, 433, 437, 546, 327, 602, 414, 577, 535, 974, 592, 423, 256]
864;27;Critical Account / Other Credits Existing at Other Bank;Furniture/Equipment;4526;More than 1000 DM;less than 1 year;4;None;2;32;Ownership;2;Unskilled - Resident;2;Yes;male;single;1;[223, 666, 676, 886, 599, 914, 299, 718, 371, 567, 794, 19, 253, 963]
865;10;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;2210;Less than 100 DM;1-3 years;2;None;2;25;Rented;1;Unskilled - Resident;1;Yes;male;single;2;[122, 905, 979, 436, 428, 555, 12, 309, 363, 931, 167, 632, 604, 540]
866;15;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;2221;500-1000 DM;1-3 years;2;None;4;20;Rented;1;Skilled;1;Yes;female;divorced/separated/married;1;[391, 155, 585, 420, 797, 249, 633, 795, 350, 746, 513, 111, 837, 372]
867;18;Existing Credits Paid Back Duly Till Now;Radio/TV;2389;Less than 100 DM;less than 1 year;4;None;1;27;Ownership;1;Skilled;1;Yes;female;divorced/separated/married;1;[679, 640, 120, 466, 86, 634, 500, 355, 521, 579, 612, 364, 896, 385]
868;12;Critical Account / Other Credits Existing at Other Bank;Furniture/Equipment;3331;Less than 100 DM;more than 6 years;2;None;4;42;Ownership;1;Skilled;1;Yes;male;single;1;[206, 176, 335, 693, 345, 479, 668, 933, 940, 929, 412, 900, 23, 399]
869;36;Existing Credits Paid Back Duly Till Now;Business;7409;No Savings Account;more than 6 years;3;None;2;37;Ownership;2;Skilled;1;Yes;male;single;1;[266, 415, 778, 411, 879, 888, 893, 571, 7, 870, 628, 5, 622, 787]
870;12;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;652;Less than 100 DM;more than 6 years;4;None;4;24;Rented;1;Skilled;1;Yes;female;divorced/separated/married;1;[10, 582, 337, 111, 623, 817, 197, 922, 721, 221, 985, 837, 633, 372]
871;36;Delay in Paying Off in the Past;Furniture/Equipment;7678;500-1000 DM;4-6 years;2;None;4;40;Ownership;2;Skilled;1;Yes;female;divorced/separated/married;1;[73, 622, 787, 568, 868, 653, 266, 310, 628, 205, 778, 105, 879, 381]
872;6;Critical Account / Other Credits Existing at Other Bank;New car;1343;Less than 100 DM;more than 6 years;1;None;4;46;Ownership;2;Skilled;2;No;male;single;1;[156, 22, 297, 516, 325, 494, 892, 413, 151, 488, 264, 897, 515, 247]
873;24;Critical Account / Other Credits Existing at Other Bank;Business;1382;100-500 DM;4-6 years;4;None;1;26;Ownership;2;Skilled;1;Yes;male;single;1;[245, 764, 636, 481, 533, 248, 269, 847, 534, 965, 508, 579, 455, 500]
874;15;Existing Credits Paid Back Duly Till Now;Domestic appliances;874;No Savings Account;less than 1 year;4;None;1;24;Ownership;1;Skilled;1;Yes;female;divorced/separated/married;1;[550, 610, 836, 12, 604, 934, 931, 783, 573, 167, 471, 722, 308, 708]
875;12;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;3590;Less than 100 DM;1-3 years;2;Co-applicant;2;29;Ownership;1;Unskilled - Resident;2;Yes;male;single;1;[916, 441, 129, 421, 49, 857, 689, 526, 125, 257, 995, 767, 894, 858]
876;11;Critical Account / Other Credits Existing at Other Bank;New car;1322;More than 1000 DM;1-3 years;4;None;4;40;Ownership;2;Skilled;1;Yes;female;divorced/separated/married;1;[250, 215, 445, 725, 856, 146, 957, 204, 26, 649, 478, 463, 27, 135]
877;18;All Credits at This Bank Paid Back Duly;Radio/TV;1940;Less than 100 DM;less than 1 year;3;Co-applicant;4;36;Free Housing;1;Highly Skilled;1;Yes;male;single;1;[37, 688, 457, 109, 452, 232, 162, 30, 461, 114, 785, 365, 184, 625]
878;36;Existing Credits Paid Back Duly Till Now;Radio/TV;3595;Less than 100 DM;more than 6 years;4;None;2;28;Ownership;1;Skilled;1;Yes;male;single;1;[148, 141, 993, 181, 780, 840, 603, 735, 578, 225, 230, 315, 907, 328]
879;9;Existing Credits Paid Back Duly Till Now;New car;1422;Less than 100 DM;less than 1 year;3;None;2;27;Free Housing;1;Highly Skilled;1;Yes;male;single;2;[383, 403, 472, 510, 207, 409, 201, 686, 329, 490, 260, 89, 820, 627]
880;30;Critical Account / Other Credits Existing at Other Bank;Radio/TV;6742;No Savings Account;4-6 years;2;None;3;36;Ownership;2;Skilled;1;Yes;male;single;1;[571, 778, 266, 411, 415, 868, 888, 893, 628, 776, 7, 870, 910, 460]
881;24;Existing Credits Paid Back Duly Till Now;Used car;7814;Less than 100 DM;4-6 years;3;None;3;38;Ownership;1;Highly Skilled;1;Yes;male;single;1;[791, 889, 387, 106, 99, 996, 154, 659, 491, 292, 971, 716, 268, 703]
882;24;Existing Credits Paid Back Duly Till Now;Used car;9277;No Savings Account;1-3 years;2;None;4;48;Free Housing;1;Skilled;1;Yes;male;divorced/separated;1;[980, 211, 939, 520, 175, 397, 292, 971, 80, 42, 958, 317, 833, 683]
883;30;Critical Account / Other Credits Existing at Other Bank;New car;2181;No Savings Account;more than 6 years;4;None;4;36;Ownership;2;Skilled;1;Yes;male;single;1;[239, 164, 370, 68, 460, 392, 74, 46, 98, 822, 446, 716, 776, 368]
884;18;Critical Account / Other Credits Existing at Other Bank;Radio/TV;1098;Less than 100 DM;Unemployed;4;None;4;65;Ownership;2;Unemployed / Unskilled  - Non-Resident;1;Yes;female;divorced/separated/married;1;[976, 987, 219, 723, 807, 769, 137, 75, 629, 283, 774, 624, 816, 760]
885;24;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;4057;Less than 100 DM;4-6 years;3;None;3;43;Ownership;1;Skilled;1;Yes;male;divorced/separated;2;[851, 406, 890, 833, 80, 901, 830, 977, 42, 591, 545, 674, 268, 659]
886;12;Existing Credits Paid Back Duly Till Now;Education;795;Less than 100 DM;less than 1 year;4;None;4;53;Ownership;1;Skilled;1;Yes;female;divorced/separated/married;2;[300, 680, 246, 754, 584, 91, 94, 72, 379, 209, 200, 177, 396, 967]
887;24;Critical Account / Other Credits Existing at Other Bank;Business;2825;No Savings Account;4-6 years;4;None;3;34;Ownership;2;Skilled;2;Yes;male;single;1;[567, 863, 223, 963, 299, 666, 654, 845, 256, 253, 974, 676, 192, 423]
888;48;Existing Credits Paid Back Duly Till Now;Business;15672;Less than 100 DM;1-3 years;2;None;2;23;Ownership;1;Skilled;1;Yes;male;single;2;[714, 637, 63, 915, 333, 832, 744, 295, 226, 395, 134, 616, 57, 945]
889;36;Critical Account / Other Credits Existing at Other Bank;New car;6614;Less than 100 DM;more than 6 years;4;None;4;34;Ownership;2;Highly Skilled;1;Yes;male;single;1;[893, 411, 415, 266, 7, 868, 879, 778, 571, 910, 628, 5, 986, 76]
